event_id,visual_version,theme_backdrop_key,primary_ruid,primary_resource_type,accent_ruid,accent_resource_type,layout_ko,review_status
elnath_avalanche_warning,1,elnath_snow,0fa0c82396d74c14ac004a65dff4497e,animationclip,766d27c1f8ac4118ba28718b7d7eb372,sprite,파손된 석상을 왼쪽에 배치하고 눈사태의 파열감을 표시,needs_visual_review
elnath_frost_shrine,1,elnath_snow,331ffba694d347d5861f1ed0afd4804d,animationclip,0fa0c82396d74c14ac004a65dff4497e,animationclip,서리 낀 마법진과 석상 파편을 왼쪽에 배치,needs_visual_review
mine_sealed_rail,1,mine_lava,2fa098a799b04d0b92f065e551a901c7,sprite,7f55cc1141e34298bc5d5daffaf9f631,sprite,광차를 왼쪽 하단에 배치하고 봉인 제어 장치를 보조로 표시,needs_visual_review
mine_molten_notes,1,mine_lava,d7851ed771e54366ab4e0b6bd9e2b98c,animationclip,7886ee2ba1204f2c8ddd273eed4c7516,sprite,광부를 왼쪽에 배치하고 용암빛 정수를 노트의 빛으로 표현,needs_visual_review
mine_rift_whisper,1,mine_lava,766d27c1f8ac4118ba28718b7d7eb372,sprite,7886ee2ba1204f2c8ddd273eed4c7516,sprite,균열을 왼쪽에 크게 배치하고 붉은 정수를 보조로 표시,needs_visual_review
mine_abandoned_forge,1,mine_lava,f1e3fb6ea6d146d29f4fab92dc5629e1,animationclip,2033775b697e47b991e813b93bc0c609,sprite,대장장이를 왼쪽에 배치하고 식지 않은 대장간 불빛을 표시,needs_visual_review
mine_miners_ledger,1,mine_lava,73e66c3c30264c3788f8fc896ea81ecd,animationclip,2fa098a799b04d0b92f065e551a901c7,sprite,광부를 왼쪽에 배치하고 광차와 장부 단서를 보조로 표시,needs_visual_review
mine_heat_fissure,1,mine_lava,7886ee2ba1204f2c8ddd273eed4c7516,sprite,766d27c1f8ac4118ba28718b7d7eb372,sprite,붉은 정수를 왼쪽에 배치하고 열기 균열을 뒤에 표시,needs_visual_review
mine_chained_golem,1,mine_lava,0d6bc89dd76b45f29e7cf892a100b3e9,animationclip,87eea551f4aa4a44a5c83d17717f1a08,animationclip,파손된 골렘을 왼쪽에 배치하고 거대한 석상 실루엣을 보조로 표시,needs_visual_review
mine_collapse_warning,1,mine_lava,2fa098a799b04d0b92f065e551a901c7,sprite,766d27c1f8ac4118ba28718b7d7eb372,sprite,광차를 왼쪽 하단에 배치하고 붕괴 먼지와 균열을 표시,needs_visual_review
mine_smuggler_cache,1,mine_lava,346f6996f7384892b10bb417e0506604,animationclip,5fcf0cef9d05448eb28dff1b4cfd96a6,sprite,보물 상자를 왼쪽에 배치하고 수상한 상자를 보조로 표시,needs_visual_review
mine_lava_lift,1,mine_lava,7f55cc1141e34298bc5d5daffaf9f631,sprite,7886ee2ba1204f2c8ddd273eed4c7516,sprite,승강기 제어 장치를 왼쪽에 배치하고 용암빛 정수를 표시,needs_visual_review
